match_id,shock_type,is_ai,did_win,fight_start,current_gold_lead,gadv_d30,gadv_d60,gadv_d120,gadv_d180
4074178274,positive,0,1,1176,6011,595,595,2510,3328
4074178274,positive,0,0,1310,-8521,-818,-818,858,-255
4074178274,negative,0,1,1310,8521,818,818,-858,255
4074178274,negative,0,0,1704,-10554,0,-1190,-3372,-7297
4074178274,positive,0,1,1704,10554,0,1190,3372,7297
4074178274,negative,0,0,1807,-13926,0,-3925,-7754,-10799
4074178274,positive,0,1,1807,13926,0,3925,7754,10799
4072772695,positive,0,1,552,2294,0,-331,835,1512
4072772695,negative,0,0,552,-2294,0,331,-835,-1512
4072772695,positive,0,1,923,4816,0,1688,2162,2305
4072772695,negative,0,0,923,-4816,0,-1688,-2162,-2305
4072772695,positive,0,1,1553,5010,-1801,-1801,-1179,-335
4072772695,negative,0,0,1553,-5010,1801,1801,1179,335
4072772695,positive,0,1,1663,3831,844,844,1622,3684
4072772695,negative,0,0,1663,-3831,-844,-844,-1622,-3684
4072772695,positive,0,1,1910,8012,-95,-95,4028,421
4072772695,negative,0,0,1910,-8012,95,95,-4028,-421
4072772695,negative,0,1,1962,7917,4123,4123,516,680
4072772695,positive,0,0,1962,-7917,-4123,-4123,-516,-680
4072699199,negative,0,1,991,1448,-641,-641,-2233,-1467
4072699199,positive,0,0,991,-1448,641,641,2233,1467
4072699199,positive,0,1,1390,-865,0,1428,2630,2559
4072699199,negative,0,0,1390,865,0,-1428,-2630,-2559
4072699199,positive,0,1,1711,3101,-573,-573,2714,6614
4072699199,negative,0,0,1711,-3101,573,573,-2714,-6614
4072699199,positive,0,1,2986,9685,269,269,407,407
4072699199,negative,0,0,2986,-9685,-269,-269,-407,-407
4072699199,positive,0,1,3030,9954,138,138,138,138
4072699199,negative,0,0,3030,-9954,-138,-138,-138,-138
4072635180,positive,0,0,506,370,0,199,303,652
4072635180,negative,0,1,506,-370,0,-199,-303,-652
4072635180,negative,0,0,1188,-2650,-791,-791,-4146,-5319
