match_id,is_openai5,fight_start,kill_delta_radiant,gadv_d30,gadv_d60,gadv_d120,gadv_d180
2566482748,False,1836,-1,-589,-589,-619,-172
2566482748,False,2278,5,-942,-942,5259,6676
2566482748,False,2538,2,0,282,3030,2885
2564666119,False,539,3,852,852,1748,3651
2564666119,False,968,-1,0,-537,-2349,-2295
2564666119,False,1626,3,0,2622,7028,6997
2564666119,False,2209,4,342,342,342,342
2564619977,False,604,-1,0,-261,-215,1059
2564619977,False,969,-1,0,988,-1716,-3701
2564619977,False,1115,-1,-1985,-1985,-1081,-2386
2564619977,False,1860,-4,0,0,0,0
2564547149,False,204,3,0,692,1177,1645
2564547149,False,534,0,563,563,-21,-365
2564547149,False,629,-1,0,-344,-99,3235
2564547149,False,753,5,3334,3334,5115,5038
2564547149,False,892,3,-77,-77,1398,1905
2564547149,False,974,1,0,507,1691,1721
2564547149,False,1040,2,0,1184,1214,1733
2564547149,False,1368,-2,317,317,-4846,-6151
2564547149,False,1625,-5,0,-4469,-6691,-6444
2564547149,False,1848,-4,296,296,-8333,-8086
2564547149,False,2240,1,0,867,2014,2528
2564547149,False,2857,-5,397,397,-3867,-5542
2564547149,False,3175,-1,2297,2297,-651,-651
2564485350,False,598,1,579,579,951,590
2564485350,False,856,2,0,1106,1547,2372
2564485350,False,973,2,0,825,664,864
2564485350,False,1115,1,200,200,1540,650
2564485350,False,1245,3,-890,-890,1529,2145
2564485350,False,2115,6,0,4906,11288,12088
2564408925,False,854,4,0,2845,3428,3614
2564408925,False,1039,3,0,1209,4199,4802
2564408925,False,1492,2,427,427,634,5721
2564408925,False,1558,3,207,207,5294,13368
2564408925,False,1620,4,0,8074,8074,8074
2564310434,False,1273,-2,0,-126,-133,441
2564310434,False,1707,0,0,-693,-2126,-3959
2564310434,False,1799,-1,-1433,-1433,-3266,-4349
2564310434,False,2270,1,-889,-889,700,1006
2564310434,False,2472,2,0,5349,6212,7437
2564310434,False,2614,4,1225,1225,8912,18437
2564310434,False,2725,3,0,9525,11228,11228
2564211031,False,1086,2,0,1422,127,589
2564211031,False,1452,2,0,1800,1503,-505
2564211031,False,1549,-1,-297,-297,-2305,-638
2564211031,False,2329,3,2413,2413,2413,2413
2562671370,False,928,-2,0,-807,-549,388
2562671370,False,1196,-1,-412,-412,-495,-365
2562671370,False,1623,-1,0,-3281,-4453,-4144
2562671370,False,1799,0,309,309,-613,174
2562671370,False,1974,-4,349,349,-1264,-2595
2562582896,False,599,-3,-81,-81,-1481,-1403
2562582896,False,1059,2,576,576,2229,1742
2562582896,False,2056,-1,0,2098,-1001,-1164
2562582896,False,2250,0,586,586,-1105,-646
2562582896,False,3126,-2,0,-1878,-2738,-2462
2562582896,False,4144,-2,0,331,-590,-2014
2562582896,False,4396,3,0,3606,4769,4769
2562521800,False,579,1,493,493,388,-1086
2562521800,False,757,-1,496,496,-241,-381
2562521800,False,869,1,0,-140,1588,2375
2562521800,False,1242,4,651,651,3764,2088
2562521800,False,1362,2,-1676,-1676,1114,1430
2562521800,False,1600,3,264,264,2242,3551
2562521800,False,1736,3,1309,1309,8383,8163
2562521800,False,1797,1,7074,7074,6854,2878
2562521800,False,1865,-1,0,-3976,-5073,2321
2562521800,False,1930,1,0,-1097,6297,6779
2562482317,False,734,-2,0,456,1010,514
2562482317,False,1042,2,0,1249,1648,119
2562482317,False,1300,1,1395,1395,2274,2098
2562482317,False,1494,0,262,262,510,2450
2562482317,False,1705,2,0,214,5368,6211
2562482317,False,1921,3,0,8290,8290,8290
2562425844,False,706,-2,-119,-119,510,537
2562425844,False,862,0,0,-237,-1417,-1716
2562425844,False,1172,-4,-1733,-1733,-2467,-3555
2562425844,False,2102,-3,0,-5619,-5619,-5619
2562388622,False,601,-3,0,-1226,-1370,-3429
2562303634,False,991,3,653,653,1600,2655
2562303634,False,2819,1,309,309,957,1924
2562303634,False,3192,-4,0,-4212,-4212,-4212
2562207201,False,542,0,0,286,-290,-2712
2562207201,False,891,-2,151,151,-194,-59
2562207201,False,1597,2,-218,-218,3143,2985
2562207201,False,1869,3,0,3385,5398,3258
2562207201,False,2089,-1,801,801,966,959
2562207201,False,2320,5,7900,7900,7900,7900
2562091541,False,1722,-1,-1684,-1684,-1482,-1999
2562091541,False,1921,-2,0,-1401,-2458,-2694
2562091541,False,2385,-3,-2191,-2191,-5133,-8252
2562091541,False,2882,1,0,3901,3506,1477
2560502724,False,1413,-1,-267,-267,-332,-150
2560502724,False,1578,-3,0,-3434,-4260,-4102
2560502724,False,2701,0,0,-204,-486,-1498
2560502724,False,3207,-1,0,-3275,-12742,-17275
2560446360,False,813,-1,-662,-662,-890,-1812
2560446360,False,1247,-1,-349,-349,-2993,-2397
2560377671,False,343,-2,383,383,-781,-1619
2560377671,False,770,-3,-151,-151,-2595,-3070
2560377671,False,902,-3,0,-254,-1999,-2610
2560377671,False,1157,-1,0,527,2696,3900
2560377671,False,1289,1,0,1204,4531,4468
2560377671,False,1314,1,1204,1204,4531,4468
2560377671,False,3398,-1,382,382,-239,423
2560320998,False,216,1,-217,-217,1089,1372
2560320998,False,830,-2,121,121,-1161,-260
2560320998,False,1622,-3,0,-2677,-3728,-3022
2560320998,False,1785,-3,706,706,-1887,-2261
2560320998,False,2085,-4,323,323,-6700,-8565
2560320998,False,2719,-3,0,-1766,-5117,-5595
2560226228,False,1364,-4,945,945,-1392,-1244
2560226228,False,1530,0,-1569,-1569,-3069,-4474
2560226228,False,1564,-3,0,-1500,-2905,-3028
2560226228,False,1857,4,-575,-575,3747,5211
2560226228,False,1970,-2,1464,1464,300,-820
2560226228,False,2238,-1,0,-901,1146,1045
2560226228,False,2378,-2,-101,-101,-771,271
2560226228,False,2510,1,1042,1042,3215,6165
2560226228,False,2913,-3,-1468,-1468,-5420,-5826
2560226228,False,3118,2,586,586,3602,5762
2560226228,False,3695,-2,-3171,-3171,-6341,-6025
2560226228,False,3861,-3,0,-2611,-872,1477
2560226228,False,3923,3,0,1739,4088,6151
2560158271,False,811,-4,-1817,-1817,-2735,-192
2560158271,False,922,3,0,2543,2447,2465
2560158271,False,1109,3,0,1002,575,3162
